Number of Records,created_at,favorite_count,id_str,in_reply_to_screen_name,in_reply_to_status_id_str,is_retweet,lang,retweet_count,source,text
1,10/21/2017 8:52:03 PM,178,921841536136040450,,,false,en,83,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Pres. Trump is promising to help pay legal costs for White House staffers caught up in Russia probe… https://t.co/ft6QQeVM9L
1,10/21/2017 8:56:39 PM,44,921842691406786560,,,false,en,26,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",SUNDAY on @ThisWeekABC: @MarthaRaddatz speaks exclusively with former CIA director Gen. David Petraeus… https://t.co/6Qd7AkHLqP
1,10/21/2017 9:15:57 PM,0,921847547169267712,,,true,en,379,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @ABCWorldNews: US Army Sgt. La David Johnson, who was among four US soldiers killed in Niger, was laid to rest in his home state of Flor…"
1,10/21/2017 9:16:17 PM,339,921847632686977024,,,false,en,119,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Pres. Trump to appear via video message as the five living ex-presidents gather for hurricane relief concert… https://t.co/ziienpgMSn
1,10/21/2017 9:35:27 PM,452,921852454567841792,,,false,en,186,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Director Rob Reiner warns of ""more Harvey Weinsteins in Hollywood"" https://t.co/iMlIGWcKoh https://t.co/2wWjyNpntF"
1,10/21/2017 9:58:18 PM,82,921858208565809152,,,false,en,42,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Chinese power over North Korea? It's more myth than reality https://t.co/qyYJeUr2bj https://t.co/Oo76QQWQiN
1,10/21/2017 10:21:32 PM,107,921864052699205632,,,false,en,99,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Budget passed by Senate estimated to add $1.5t to deficit over next decade, contains about $5.1t in spending cuts… https://t.co/Ka9htY9Zho"
1,10/21/2017 10:44:13 PM,134,921869762610782208,,,false,en,88,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","""Aa tragedy of wasted talent"": Medical students in limbo amid battle over future of DACA program… https://t.co/gU4odCDjfH"
1,10/21/2017 11:07:10 PM,303,921875538221981696,,,false,en,88,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","After Las Vegas shooting, parents create ""Goodies Not Guns"" to discourage violent Halloween costumes for kids… https://t.co/RZpjfb66So"
1,10/21/2017 11:29:37 PM,153,921881187303481345,,,false,en,60,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Federal judge extends block on Pres. Trump's travel ban; U.S. government expected to appeal. https://t.co/Fmmxj7K1L8 https://t.co/CiR2aejtQ4
1,10/21/2017 11:51:48 PM,88,921886769037144064,,,false,en,32,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Democrats at party gathering express optimism over rebuilding efforts—and lingering resentments from 2016 primary… https://t.co/Th3yftY9q4
1,10/22/2017 12:06:44 AM,10332,921890526655217664,,,false,en,3240,"<a href=""http://snappytv.com"" rel=""nofollow"">SnappyTV.com</a>","LIVE: All five living ex-presidents attend concert in College Station, TX to benefit hurricane relief efforts… https://t.co/2ny28Nkf2o"
1,10/22/2017 12:10:09 AM,130,921891388450631680,,,false,en,100,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Residents of West Virginia town warned to avoid exposure to billowing smoke from fire at an old tool plant… https://t.co/1FSA7d1y86
1,10/22/2017 12:33:37 AM,255,921897294131326976,,,false,en,127,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","US naval commanders reiterate ""ironclad"" commitment to defend South Korea following joint naval drill… https://t.co/z9pXsGZAZR"
1,10/22/2017 12:56:24 AM,137,921903028059373569,,,false,en,123,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Malta offers $1.18 million reward, full protection for anyone with information on who killed investigative reporter… https://t.co/8idBeOw4LB"
1,10/22/2017 1:19:06 AM,71,921908741301325826,,,false,en,50,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","On Mideast trip, Tillerson hopes to seal alliance between Saudi Arabia, Iraq that would close the Arab world to Ira… https://t.co/ueJpSU4bxr"
1,10/22/2017 1:42:17 AM,113,921914572201693184,,,false,en,72,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","After years of influence, GOP kingmaker's future uncertain amid indictment on conspiracy, illegal lobbying charges… https://t.co/pMqy77vhNG"
1,10/22/2017 2:05:03 AM,269,921920302690467840,,,false,en,206,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","US Air Force could recall as many as 1,000 retired military pilots to active-duty service to address acute shortage… https://t.co/j0K4nqCYvk"
1,10/22/2017 2:27:15 AM,69,921925891164377088,,,false,en,45,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Is the window for diplomacy with North Korea closing? Former CIA director Gen. David Petraeus weighs in, Sunday on… https://t.co/Mq3XVZWoKf"
1,10/22/2017 2:49:23 AM,1033,921931461565001729,,,false,en,361,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","A growing number of gun control activists, mostly women, are seeking elected office next year… https://t.co/CTtBaqpTkJ"
1,10/22/2017 3:16:50 AM,241,921938370183467008,,,false,en,73,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","DNC Chair Tom Perez says party unity crucial in fight against Trump, whom he called an ""existential threat"" to U.S.… https://t.co/ucP7kKb8LW"
1,10/22/2017 3:44:31 AM,117,921945336372957185,,,false,en,40,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","LA mayor argues frustrated voters should look to mayors. ""We will represent everybody and we will work with anybody… https://t.co/N6kpAs9gor"
1,10/22/2017 3:56:08 AM,176,921948260717268992,,,false,en,295,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","BREAKING: Train with at least 50 cars derails in North Knoxville, Tennessee; slams into at least 2 buildings;… https://t.co/1s3FRpfmQ6"
1,10/22/2017 4:24:05 AM,84,921955291146674178,,,false,en,24,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Nancy Pelosi says while POTUS' actions on DACA have been “heartbreaking,” she has “confidence” he'll stand by them.… https://t.co/cTKfSnDakX"
1,10/22/2017 4:30:31 AM,128,921956913629335552,,,false,en,91,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","KNOXVILLE TRAIN DERAILMENT UPDATE
-Norfolk Southern freight train
-no injuries, no hazmat
-carrying containers… https://t.co/LYXBEf4NXt"
1,10/22/2017 4:56:43 AM,1839,921963505649057792,,,false,en,432,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Man who proposed best friendship to his fiancee's sister, who has Down syndrome, gets married in special ceremony.… https://t.co/CrjLz1uu17"
1,10/22/2017 5:22:39 AM,206,921970029243060224,,,false,en,215,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Dozens of Afghan soldiers, security personnel who came to U.S. for training have gone AWOL and number is increasing… https://t.co/rZ561UZ1bj"
1,10/22/2017 6:06:59 AM,55,921981189593993216,,,false,en,30,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Park hikers may have died in 'sympathetic murder-suicide' https://t.co/Otofr2TLqw https://t.co/5Echu2T98z
1,10/22/2017 6:40:26 AM,47,921989604479299584,,,false,en,18,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Transcript errors and omissions prolong Jodi Arias appeal https://t.co/BpbfjBT4lT https://t.co/wGBco8R0Zo
1,10/22/2017 7:37:15 AM,355,922003906611343360,,,false,en,266,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",President Trump hits the links at his Virginia golf club for third consecutive weekend https://t.co/Ph3Yn6p2N7 https://t.co/DKQk8kudST
1,10/22/2017 8:52:49 AM,99,922022921245265921,,,false,en,48,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",US Border Patrol K-9 sniffs out meth hidden in stuffed toy dog at Southern California immigration checkpoint… https://t.co/8DO6smsCDt
1,10/22/2017 9:19:26 AM,132,922029620115005440,,,false,en,84,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",US Navy prepares to defend allies amid heightened tensions with North Korea https://t.co/AIHLgnTYlv https://t.co/GzYIidMzwf
1,10/22/2017 9:44:57 AM,70,922036041015578626,,,false,en,48,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Buddhists protest to urge Myanmar not to repatriate Rohingya https://t.co/pUmxRc0qkl https://t.co/44Ekg3PK3a
1,10/22/2017 10:10:47 AM,80,922042542560088064,,,false,en,57,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Honolulu store owners say thieves are targeting cans of Spam https://t.co/9Zdtr8JgE9 https://t.co/KJMrLAWlkp
1,10/22/2017 10:37:39 AM,53,922049304658960384,,,false,en,28,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Filipino troops battling final 30 IS-linked gunmen https://t.co/9SZ1Z7DQGi https://t.co/ZgmB2GN58h
1,10/22/2017 11:04:40 AM,254,922056101910237185,,,false,en,239,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Trump hits the links at his Virginia golf club for third consecutive weekend https://t.co/YJTVvxAnXq https://t.co/Jdp0PLZ4PS
1,10/22/2017 11:32:23 AM,68,922063077243310080,,,false,en,22,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Unforgiving wildfires affect vineyard workers and owners https://t.co/OQ98B0BR5x https://t.co/vBXal8V7UV
1,10/22/2017 11:52:37 AM,4741,922068171292577792,,,false,en,1197,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",PAYING IT FORWARD: Woman pays for man's entire cart of groceries when his card wouldn't work and he didn't have ano… https://t.co/r8q7TrNpWQ
1,10/22/2017 11:53:29 AM,599,922068387261448193,,,false,en,150,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NEW: Benefit concert featuring all five living ex-presidents raised $2 million for hurricane relief, George H. W. B… https://t.co/Z4H8xSe8bN"
