Number of Records,created_at,favorite_count,id_str,in_reply_to_screen_name,in_reply_to_status_id_str,is_retweet,lang,retweet_count,source,text
1,4/5/2017 8:10:41 PM,280,849715937049808903,,,false,en,176,"<a href=""https://ads.twitter.com"" rel=""nofollow"">Twitter Ads</a>",".@Nikkihaley on #SyriaGasAttack : ""We cannot close our eyes to those pictures. We cannot close our minds of the res… https://t.co/FWsO8Q1hHx"
1,4/6/2017 3:47:51 AM,42,849830989614469120,,,false,en,37,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",THURSDAY: Vote on limiting #Gorsuch debate - LIVE at ~11am ET on C-SPAN2. #SCOTUS #NuclearOption https://t.co/RZSsKJ7NTr
1,4/6/2017 1:15:23 PM,13,849973814486323205,,,false,en,8,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",U.S. House – LIVE on C-SPAN https://t.co/ukZUo9AdFq https://t.co/gsFScDjiEU
1,4/6/2017 1:45:10 PM,28,849981306981298176,,,false,en,37,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","U.S. Senate - LIVE at 10am ET on C-SPAN2 https://t.co/hpMEq9md7D
Cloture vote on #Gorsuch nomination ~ 11am ET… https://t.co/zbmG8poae9"
1,4/6/2017 1:54:13 PM,9,849983585339756544,,,false,en,8,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",.@SpeakerRyan weekly news conference – LIVE online here: https://t.co/1hd0VGGp0c https://t.co/ZZOYHfSPtE
1,4/6/2017 1:55:34 PM,12,849983925980155904,,,false,en,18,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",IRS Commissioner John Koskinen testifies before the Senate Finance Cmte – LIVE on C-SPAN3 https://t.co/YjvTIBXFc1 https://t.co/5ublFgOqDk
1,4/6/2017 2:02:49 PM,11,849985748468105218,,,false,en,10,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",U.S. Senate – LIVE on C-SPAN2 https://t.co/hpMEq9md7D https://t.co/6NcfX65ZRK
1,4/6/2017 2:21:57 PM,60,849990566570070020,,,false,en,38,"<a href=""https://ads.twitter.com"" rel=""nofollow"">Twitter Ads</a>",".@SpeakerRyan: ""Chairman Nunes has offered to step aside as the lead republican on this particular probe and I full… https://t.co/QuhpuvRUko"
1,4/6/2017 2:30:10 PM,13,849992632952643593,,,false,en,7,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",.@senjudiciary Chair @ChuckGrassley on #Gorsuch nomination - LIVE on C-SPAN2 https://t.co/hpMEq9md7D https://t.co/ZAaJXJDMH1
1,4/6/2017 2:38:23 PM,117,849994699834368000,,,false,en,47,"<a href=""https://ads.twitter.com"" rel=""nofollow"">Twitter Ads</a>",".@RepAdamSchiff on Rep. Nunes: ""I just want to express my appreciation for what the chairman decided to do."" https://t.co/nwjqCQvZ8A"
1,4/6/2017 2:39:30 PM,18,849994981788057600,,,false,en,19,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",.@SenatorDurbin on #Gorsuch nomination - LIVE on C-SPAN2 https://t.co/hpMEq9md7D https://t.co/eXpO4tz6Gb
1,4/6/2017 2:47:39 PM,23,849997030940450816,,,false,en,20,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",.@SenSchumer on #Gorsuch nomination - LIVE on C-SPAN2 https://t.co/hpMEq9md7D https://t.co/ZsMLjxebQv
1,4/6/2017 3:03:03 PM,70,850000907727228928,,,false,en,116,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",HAPPENING NOW: U.S. Senate vote to invoke cloture on #Gorsuch nomination. 60 votes needed – LIVE on C-SPAN2… https://t.co/EzSEfU2zHU
1,4/6/2017 3:17:08 PM,12,850004452018991108,,,false,en,7,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",.@NancyPelosi weekly news conference – LIVE online here: https://t.co/FfmzRy0FbG https://t.co/BWb7eXGFfX
1,4/6/2017 3:22:35 PM,103,850005826018443264,,,false,en,140,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Here's a basic description of what's happening in the U.S. Senate (LIVE on C-SPAN2) on the #Gorsuch nomination &amp;… https://t.co/mVFNyHnQEX
1,4/6/2017 3:30:57 PM,47,850007929537392640,,,false,en,65,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Seen on C-SPAN2: Senate fails to limit debate on #Gorsuch nomination, 55-45. https://t.co/hpMEq9md7D https://t.co/jVrsKd9ioS"
1,4/6/2017 3:33:41 PM,133,850008618103648259,,,false,en,93,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HAPPENING NOW: @SenateMajLdr switched his vote from Yes to No, allowing 2nd cloture vote on #Gorsuch – LIVE C-SPAN2… https://t.co/ZNBhqlRVby"
1,4/6/2017 3:46:50 PM,95,850011926826545152,,,false,en,79,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Seen on C-SPAN2: Senate again fails to limit debate on #Gorsuch nomination, 55-45. https://t.co/hpMEq9md7D https://t.co/NBRzNpLkNy"
1,4/6/2017 3:51:00 PM,110,850012976279146496,,,false,en,53,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",HAPPENING NOW: Senate vote on @SenSchumer motion to delay #Gorsuch nomination until later this month – LIVE C-SPAN2… https://t.co/xkHwZUbsRg
1,4/6/2017 4:01:56 PM,31,850015726979231744,,,false,en,48,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Seen on C-SPAN2: @SenSchumer motion to delay #Gorsuch nomination until April 24th fails, 48-52.… https://t.co/oVjOkAigfp"
1,4/6/2017 4:04:55 PM,75,850016479554801664,,,false,en,63,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",HAPPENING NOW: Senate vote on @SenSchumer motion to adjourn until 5pm – LIVE on C-SPAN2 https://t.co/hpMEq9md7D https://t.co/kIq9EAs9Z3
1,4/6/2017 4:15:31 PM,397,850019146058346496,,,false,en,384,"<a href=""https://ads.twitter.com"" rel=""nofollow"">Twitter Ads</a>",.@SenateMajLdr raises point of order to change Senate precedent for #SCOTUS nominations from 60 votes to a simple m… https://t.co/zpf3yQUoRg
1,4/6/2017 4:19:01 PM,42,850020027634003969,,,false,en,29,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Seen on C-SPAN2: @SenSchumer motion to adjourn until 5pm fails, 48-52.  https://t.co/hpMEq9md7D https://t.co/d2Cew7rCq2"
1,4/6/2017 4:21:59 PM,107,850020773939089408,,,false,en,147,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",NOW: Senate vote to change rules for #SCOTUS nominations from 60 to simple majority #NuclearOption – LIVE on C-SPAN… https://t.co/u9DJFGPMCv
1,4/6/2017 4:30:54 PM,60,850023014930534400,,,false,en,96,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","YES vote = Keep 60 vote precedent
NO vote = Change to simple majority #NuclearOption https://t.co/m8s5NqroSZ"
1,4/6/2017 4:36:40 PM,51,850024468156231680,,,false,en,72,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Seen on C-SPAN2: Senate changes filibuster rules for #SCOTUS nominations from 60 to simple majority #NuclearOption.… https://t.co/8W48sCHAxV
1,4/6/2017 4:38:31 PM,44,850024933992398848,,,false,en,51,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",HAPPENING NOW: U.S. Senate vote to invoke cloture on #Gorsuch nomination. Simple majority needed – LIVE on C-SPAN2… https://t.co/0gSyGuV9RY
1,4/6/2017 4:45:43 PM,251,850026744144908289,,,false,en,267,"<a href=""https://ads.twitter.com"" rel=""nofollow"">Twitter Ads</a>",.@SenOrrinHatch announces Senate vote changing filibuster rules for #SCOTUS nominations from 60 to simple majority.… https://t.co/3LpUSqvhqH
1,4/6/2017 4:52:03 PM,215,850028337925939200,,,false,en,144,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Seen on C-SPAN2: Senate invokes cloture on #Gorsuch nomination, 55-45. Up to 30hrs of post-cloture debate starts no… https://t.co/qO37iGT1ox"
1,4/6/2017 4:56:04 PM,66,850029349755551744,,,false,en,72,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Senate confirmation vote on Judge #Gorsuch will take place Friday evening. Watch LIVE on C-SPAN2.
1,4/6/2017 5:04:30 PM,34,850031471809232896,,,false,en,21,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",House Rules Cmte (@RulesReps) meets on GOP Health Care Bill Amendment - LIVE online here: https://t.co/8aFNXOOuSj https://t.co/5q0t5qn1Tg
1,4/6/2017 7:15:12 PM,90,850064362685440001,,,false,en,86,"<a href=""https://ads.twitter.com"" rel=""nofollow"">Twitter Ads</a>","Secretary of State Rex Tillerson on #SyriaGasAttack: ""We are considering an appropriate response for this chemical… https://t.co/ddwDjHcUKB"
1,4/6/2017 11:30:40 PM,81,850128654931767296,,,false,en,111,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",UPDATE: Senate confirmation vote on Judge #Gorsuch will take place ~ 11:30am ET on Friday. Watch LIVE on C-SPAN2.
1,4/7/2017 1:47:06 AM,121,850162988250275841,,,false,en,170,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","See what Members of Congress are tweeting via C-SPAN Twitter list --&gt; 
https://t.co/YHcd2X7isB https://t.co/odnipdmbrf"
1,4/7/2017 2:03:01 AM,212,850166994448121856,,,false,en,136,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",President Trump statement on #Syria Missile Strike - NOW on C-SPAN https://t.co/oUtZIZz2uP
1,4/7/2017 2:15:58 AM,226,850170254483488768,,,false,en,211,"<a href=""https://ads.twitter.com"" rel=""nofollow"">Twitter Ads</a>",".@POTUS: ""Tonight I ordered a targeted military strike on the airfield in #Syria from where the chemical attack was… https://t.co/78u07pxnEK"
1,4/7/2017 1:20:43 PM,10,850337543543558144,,,false,en,19,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",.@SenDanSullivan on Missile Defense @CSIS – LIVE on C-SPAN3 https://t.co/FQSrF7UieV https://t.co/PUM9PDzzH9
1,4/7/2017 1:28:27 PM,0,850339488593317888,,,true,en,114,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",RT @cspanwj: Do you support or oppose the U.S.-launched airstrikes in #Syria?
1,4/7/2017 1:34:19 PM,59,850340964447211520,,,false,en,86,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",U.S. Senate: Debate &amp; Vote on nomination of Judge Neil #Gorsuch to the Supreme Court – LIVE on C-SPAN2… https://t.co/JZcOVxmLLp
1,4/7/2017 1:51:09 PM,65,850345202577485824,,,false,en,38,"<a href=""https://ads.twitter.com"" rel=""nofollow"">Twitter Ads</a>","Senate @Chaplain_Black: ""We are reminded again that eternal vigilance is the price for freedom."" https://t.co/h3cIaKzGE4"
1,4/7/2017 3:05:32 PM,10,850363919835287552,,,false,en,15,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",.@SenateMajLdr News Conference – LIVE on C-SPAN https://t.co/ZUuxmVyzk2 #SyriaStrikes https://t.co/lao6NgeHhb
1,4/7/2017 3:34:04 PM,71,850371103704928257,,,false,en,91,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",HAPPENING NOW: Final Vote on nomination of Judge Neil #Gorsuch to the Supreme Court – LIVE on C-SPAN2… https://t.co/tvsDJWS1ak
1,4/7/2017 4:00:29 PM,105,850377748480741377,,,false,en,100,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Seen on C-SPAN2: U.S. Senate confirms Judge Neil #Gorsuch as Supreme Court Justice, 54-45. https://t.co/cQL0nfbEOm… https://t.co/n7wqQEYVEe"
1,4/7/2017 4:05:46 PM,41,850379081325719552,,,false,en,56,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",.@UN Security Council meeting on #syriastrike – LIVE on C-SPAN https://t.co/WRQ4WWSfx3 https://t.co/lsTwPXJvY6
1,4/7/2017 4:10:20 PM,4028,850380228916527104,,,false,en,1036,"<a href=""https://ads.twitter.com"" rel=""nofollow"">Twitter Ads</a>",".@VP: ""The nomination of Neil M. #Gorsuch of Colorado to be an Associate Justice of the Supreme Court of the United… https://t.co/zDm5XYhwsl"
1,4/7/2017 6:06:30 PM,472,850409461655236608,,,false,en,179,"<a href=""https://ads.twitter.com"" rel=""nofollow"">Twitter Ads</a>",".@Nikkihaley says U.S. ""took a very measured step last night. We are prepared to do more, but we hope that will not… https://t.co/PWZp8n1RCD"
1,4/9/2017 2:00:09 PM,19,851072243169988608,,,false,en,14,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#Newsmakers with @HouseVetAffairs Chair @DrPhilRoe, questions from @connorobrienNH &amp; @kelmej - NOW on C-SPAN… https://t.co/U9aJdJ8pN9"
1,4/9/2017 2:01:53 PM,14,851072678261915648,,,false,en,10,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Now on C-SPAN3 https://t.co/0pOiTvmJii
1,4/10/2017 1:18:02 PM,12,851424031849013248,,,false,en,19,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Discussion on Public &amp; Charter Schools, @AEI hosts – LIVE on C-SPAN2 https://t.co/Ab0BKy37R3 https://t.co/DtA3AunOpm"
1,4/10/2017 2:04:56 PM,81,851435835207634944,,,false,en,52,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Judge Neil #Gorsuch is sworn in as an Associate Justice on the Supreme Court – LIVE at 11am ET on C-SPAN… https://t.co/iXm6s40cYg
