Number of Records,created_at,favorite_count,id_str,in_reply_to_screen_name,in_reply_to_status_id_str,is_retweet,lang,retweet_count,source,text
1,11/4/2017 8:17:28 PM,211,926906260733251585,,,false,en,76,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",.@AlanDersh: No Criminal Evidence Yet in Either Trump Russia Investigation or Democrats' Scandals https://t.co/Qp4UUPg908
1,11/4/2017 8:22:15 PM,937,926907465442250752,,,false,en,229,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",This morning President @realDonaldTrump once again made his case that the U.S. economy is flourishing.… https://t.co/CQOUIYWr7k
1,11/4/2017 8:23:23 PM,579,926907750914850817,,,false,en,273,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DNC gave Clinton control over campaign well before it was supposed to: docs

https://t.co/XOOE5z1lXP"
1,11/4/2017 8:25:47 PM,1422,926908353770639361,,,false,en,1364,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BREAKING NEWS: @RandPaul assaulted in Kentucky home
https://t.co/54oR5wfdTy"
1,11/4/2017 8:34:01 PM,998,926910426805235712,,,false,en,286,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",".@wjmcgurn: ""I think a lot of people in Virginia may be thinking they're tired of being called 'racists' &amp; 'white s… https://t.co/rISbSclpXw"
1,11/4/2017 8:38:06 PM,0,926911456066629632,,,true,en,24,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @EricShawnTV: @POTUS @realDonaldTrump's trip to Asia. Live coverage when I anchor @FoxNews, starts at 5 pm ET. What message should be se…"
1,11/4/2017 8:45:42 PM,1150,926913366207221761,,,false,en,362,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",".@GreggJarrett: @HillaryClinton's scheme in 'rigging' the nomination may have been criminal
https://t.co/yJfwcvJ3Dg"
1,11/4/2017 8:46:55 PM,1332,926913673288933376,,,false,en,337,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","The rising sun turns the sky red and orange behind the U.S. Marine Corps War Memorial in Arlington, VA. https://t.co/85IQ4r61xW"
1,11/4/2017 8:47:16 PM,1086,926913762803748865,,,false,en,257,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",.@WhiteHouse chief of staff John Kelly takes a moment to himself after attending a wreath laying ceremony at the… https://t.co/rrLbEqMl0z
1,11/4/2017 8:48:04 PM,600,926913964323225600,,,false,en,155,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",".@SebGorka: ""The are so many nations out there... that have very strict merit-based immigration, we should have tha… https://t.co/AN2DczfOnX"
1,11/4/2017 8:48:15 PM,781,926914007595757569,,,false,en,205,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",Disabled Navy vet refuses to receive award from Saints over national anthem protests https://t.co/GokSuqX2ZV https://t.co/uA6Rg07DRu
1,11/4/2017 8:49:40 PM,1217,926914365185441792,,,false,en,411,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",".@dbongino: ""This is absolute Peak Democrat, accuse your opponents of everything YOU do: Russian collusion... rigge… https://t.co/qsjQxDRvT8"
1,11/4/2017 8:49:47 PM,1270,926914392398221318,,,false,en,280,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",The daughter of a @USMC Marine gets ready to greet her father as he returns home from a six month deployment to Tur… https://t.co/xfS2lRwib3
1,11/4/2017 8:50:53 PM,262,926914672309125120,,,false,en,78,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",".@POTUS's Hawaii, Asia trip. https://t.co/QUraTe3k71"
1,11/4/2017 8:51:22 PM,402,926914793696620544,,,false,en,130,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","On #BullsandBears, @T_S_P_O_O_K_Y slammed the Diversity Lottery Visa Program. https://t.co/6kx2e80Fp8"
