Number of Records,created_at,favorite_count,id_str,in_reply_to_screen_name,in_reply_to_status_id_str,is_retweet,lang,retweet_count,source,text
1,11/8/2017 2:00:07 AM,14,928079656020074496,,,false,en,10,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","From new alliances to shifting Sunni-Shi’ite relationships, @ReutersOpinion examines the decline of Islamic State… https://t.co/gM6rNZgYkF"
1,11/8/2017 2:00:13 AM,31,928079681420701696,,,false,en,46,"<a href=""http://trueanthem.com/"" rel=""nofollow"">trueAnthem</a>","At U.N., Russia slams inquiry into toxic gas attacks in Syria https://t.co/BqE4yJn0PZ https://t.co/oXTkfQl8MA"
1,11/8/2017 2:00:50 AM,0,928079835720765446,,,true,en,5,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @ReutersPolitics: WATCH LIVE: Ed Gillespie, Virginia Republican candidate for governor, addresses supporters on election night https://t…"
1,11/8/2017 2:10:04 AM,31,928082158232719361,,,false,en,32,"<a href=""http://trueanthem.com/"" rel=""nofollow"">trueAnthem</a>",Dollar slips broadly on report of possible delays to U.S. corporate tax cut https://t.co/1pUkmlsEj7 https://t.co/LCxUTZMliw
1,11/8/2017 2:18:39 AM,528,928084319813488641,,,false,en,145,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Democrats win bitter Virginia governor's race in setback for Trump https://t.co/oTVFlIyE6r
1,11/8/2017 2:19:19 AM,20,928084489225502720,,,false,en,28,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",WATCH LIVE: U.S. President Donald Trump delivers speech at South Korea's National Assembly in Seoul… https://t.co/23JZ1kHf7s
1,11/8/2017 2:20:10 AM,38,928084702577209346,,,false,en,34,"<a href=""http://trueanthem.com/"" rel=""nofollow"">trueAnthem</a>",U.S. Senate panel targets Chinese banks with North Korea sanctions https://t.co/TiksZfgW7v https://t.co/GsQBb4pgz5
1,11/8/2017 2:30:07 AM,0,928087205305831426,,,true,en,6,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",RT @Breakingviews: Broadcom grows its way to strategic dead end https://t.co/syvCMfe0TS @rob_cyran
1,11/8/2017 2:30:14 AM,78,928087236033249285,,,false,en,107,"<a href=""http://trueanthem.com/"" rel=""nofollow"">trueAnthem</a>",Twitter to roll out 280-character tweets worldwide https://t.co/sIRdqYqstg https://t.co/NIECRaiQxV
1,11/8/2017 2:40:04 AM,14,928089711255654400,,,false,en,21,"<a href=""http://trueanthem.com/"" rel=""nofollow"">trueAnthem</a>",U.S. senators press Allergan for details on patent deal with tribe https://t.co/Yqc5sRsSId https://t.co/JZ2FoXDoTL
1,11/8/2017 2:46:23 AM,78,928091299605032960,,,false,en,52,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Trump to urge all nations to isolate North Korea's 'brutal regime' in South Korea speech https://t.co/nOlekLnABe
1,11/8/2017 2:50:05 AM,38,928092231273275392,,,false,en,20,"<a href=""http://trueanthem.com/"" rel=""nofollow"">trueAnthem</a>","Roy Halladay, ex-Major League pitching star, dies in plane crash off Florida https://t.co/rhJqNpmOOA https://t.co/iGv5ofepog"
1,11/8/2017 3:00:14 AM,63,928094786283868165,,,false,en,93,"<a href=""http://trueanthem.com/"" rel=""nofollow"">trueAnthem</a>","Assad adviser says Turkish, U.S. forces 'illegal invaders' in Syria https://t.co/DTOQbCltaT https://t.co/4wFIqEfHQO"
1,11/8/2017 3:07:40 AM,108,928096653382488064,,,false,en,67,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Trump issues stern warning to North Korea: 'Do not try us' https://t.co/NCZ0RHrOB1
1,11/8/2017 3:10:04 AM,22,928097259413278720,,,false,en,23,"<a href=""http://trueanthem.com/"" rel=""nofollow"">trueAnthem</a>",Oil dips on profit taking but remains near two-year highs https://t.co/1bbVUQLEaM https://t.co/5gt7T4c7f6
1,11/8/2017 3:20:12 AM,27,928099809424216065,,,false,en,23,"<a href=""http://trueanthem.com/"" rel=""nofollow"">trueAnthem</a>","Asia stocks pause at peaks, ponder U.S. tax muddle https://t.co/gySC9p39Bi https://t.co/KlH7fy3EIR"
1,11/8/2017 3:23:00 AM,0,928100514625216512,,,true,en,6,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","RT @ReutersLive: WATCH LIVE: Ralph Northam, Virginia Democratic candidate for governor, addresses supporters on election night https://t.co…"
1,11/8/2017 3:30:13 AM,377,928102332100960256,,,false,en,114,"<a href=""http://trueanthem.com/"" rel=""nofollow"">trueAnthem</a>",Charges dropped against woman who laughed at Trump nominee Sessions https://t.co/3pMeifMANI https://t.co/Hwopjnq5np
1,11/8/2017 3:40:05 AM,21,928104811995811840,,,false,en,29,"<a href=""http://trueanthem.com/"" rel=""nofollow"">trueAnthem</a>",Catalan secessionist parties fail to agree on unity ticket for December vote https://t.co/rOFHAb4TIl https://t.co/HLWnS3M3sP
1,11/8/2017 3:50:05 AM,48,928107329723289600,,,false,en,48,"<a href=""http://trueanthem.com/"" rel=""nofollow"">trueAnthem</a>",Israeli start-up says Apple copied its patented smartphone camera technology https://t.co/4Dl8koAlas https://t.co/j6Ht4O6F3f
1,11/8/2017 4:00:02 AM,22,928109833017950210,,,false,en,19,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","Churchgoers consider carrying guns, plus more news in ‘The @ReutersTV Takeaway’ https://t.co/og3RW6twrK https://t.co/txZ3Heutcq"
1,11/8/2017 4:00:16 AM,51,928109893432889346,,,false,en,41,"<a href=""http://trueanthem.com/"" rel=""nofollow"">trueAnthem</a>",Fog stops Trump facing-off North Korea across DMZ https://t.co/zWJjHV5GOL https://t.co/QfhKcfQ19b
1,11/8/2017 4:10:04 AM,61,928112360929325056,,,false,en,54,"<a href=""http://trueanthem.com/"" rel=""nofollow"">trueAnthem</a>",Ex-agent in Silk Road probe gets more prison time for bitcoin theft https://t.co/LVafq0RdA5 https://t.co/MJI5YKJc9C
1,11/8/2017 4:14:28 AM,80,928113464740139008,,,false,en,56,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Trump warns 'rogue regime' North Korea of grave danger https://t.co/RyNZKybbQ0
1,11/8/2017 4:25:15 AM,145,928116180598099973,,,false,en,107,"<a href=""http://trueanthem.com/"" rel=""nofollow"">trueAnthem</a>",Senator seeks explanation for career U.S. prosecutor's abrupt resignation https://t.co/jr14oXzPLq https://t.co/SVZWuVguWZ
1,11/8/2017 4:30:13 AM,26,928117430118993920,,,false,en,16,"<a href=""http://trueanthem.com/"" rel=""nofollow"">trueAnthem</a>",Paramount Pictures scraps agreement with Huahua Media https://t.co/xTv0oFvIwC https://t.co/H4tZuwkvom
1,11/8/2017 4:34:05 AM,561,928118403327561728,,,false,en,166,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Danica Roem beats long-time Republican incumbent to become first transgender person to win a state legislative race… https://t.co/s1M7vJycqG
1,11/8/2017 4:40:04 AM,51,928119909913124864,,,false,en,78,"<a href=""http://trueanthem.com/"" rel=""nofollow"">trueAnthem</a>",UCLA basketball players arrested in China a day before Trump's visit: reports https://t.co/NmI664dmR6
1,11/8/2017 4:50:05 AM,26,928122428634664960,,,false,en,21,"<a href=""http://trueanthem.com/"" rel=""nofollow"">trueAnthem</a>",Fox in the Mouse House could give Disney an edge in streaming wars https://t.co/GFfoEsnNJU https://t.co/iW5pClQNqy
1,11/8/2017 5:00:17 AM,25,928124997960429569,,,false,en,16,"<a href=""http://trueanthem.com/"" rel=""nofollow"">trueAnthem</a>",Quick signoff on TPP trade deal far from sure at Asia-Pacific meeting https://t.co/XAIDsyZlSl https://t.co/TB4D4DH8RX
1,11/8/2017 5:10:04 AM,123,928127458431373312,,,false,en,93,"<a href=""http://trueanthem.com/"" rel=""nofollow"">trueAnthem</a>",Kentucky clerk opposed to gay marriage to run for 2018 re-election https://t.co/G4Tut9OYv7 https://t.co/wuDAPuSiLq
1,11/8/2017 5:20:09 AM,30,928129997864427520,,,false,en,20,"<a href=""http://trueanthem.com/"" rel=""nofollow"">trueAnthem</a>","Online travel sites getting squeezed by Airbnb, hotel chains https://t.co/dnZ2TlSW2s https://t.co/uLLmGasBE6"
1,11/8/2017 5:30:14 AM,52,928132532742344704,,,false,en,32,"<a href=""http://trueanthem.com/"" rel=""nofollow"">trueAnthem</a>",Exclusive: Argentina's Macri says would contest U.S. biodiesel tariffs with WTO https://t.co/Q4zozBNOKS https://t.co/QwuJ5PIzMu
1,11/8/2017 5:40:04 AM,234,928135009051045888,,,false,en,67,"<a href=""http://trueanthem.com/"" rel=""nofollow"">trueAnthem</a>",Democrat Ralph Northam wins Virginia governor's race: media https://t.co/4fGMKGY1eS https://t.co/3rVXniFyjU
1,11/8/2017 5:50:05 AM,267,928137527126609920,,,false,en,81,"<a href=""http://trueanthem.com/"" rel=""nofollow"">trueAnthem</a>",Democrat Phil Murphy wins New Jersey governor's election: media https://t.co/TuHtcZjjho https://t.co/LXxuUKqN4j
1,11/8/2017 6:00:14 AM,39,928140085274562560,,,false,en,27,"<a href=""http://trueanthem.com/"" rel=""nofollow"">trueAnthem</a>",Chinese media upbeat on U.S. ties ahead of Trump visit https://t.co/cWFIptgsr4 https://t.co/FzgBstd5hA
1,11/8/2017 6:10:04 AM,80,928142556818493440,,,false,en,41,"<a href=""http://trueanthem.com/"" rel=""nofollow"">trueAnthem</a>",Fog forces Trump to abandon DMZ trip in South Korea https://t.co/6WCDd3s6KC https://t.co/MeUbGvcgGn
1,11/8/2017 6:20:10 AM,35,928145099904700416,,,false,en,31,"<a href=""http://trueanthem.com/"" rel=""nofollow"">trueAnthem</a>",Exclusive: Japan's MUFG gets nod to bring U.S. state branches under federal regulation https://t.co/ZMzdtOkEXP https://t.co/vZkpEf5lO2
1,11/8/2017 6:30:15 AM,69,928147637328662528,,,false,en,61,"<a href=""http://trueanthem.com/"" rel=""nofollow"">trueAnthem</a>",U.S. Commerce chief Ross divesting shipping interests: official https://t.co/Yty1BduLSc https://t.co/eFoWALetfQ
1,11/8/2017 6:40:05 AM,30,928150111435313152,,,false,en,35,"<a href=""http://trueanthem.com/"" rel=""nofollow"">trueAnthem</a>",China sets 2018 non-state crude oil import quota 55 percent higher than 2017 https://t.co/P2nyFeLRmL https://t.co/JxRsZehAta
1,11/8/2017 6:44:40 AM,0,928151265405820930,,,true,en,12,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",RT @Breakingviews: BP offers window into slippery pipeline valuations https://t.co/41pKyrMSm4 @TheRealLSL
1,11/8/2017 6:50:04 AM,33,928152625467543552,,,false,en,21,"<a href=""http://trueanthem.com/"" rel=""nofollow"">trueAnthem</a>",Peak oil? Majors aren't buying into the threat from renewables https://t.co/J82lfYj2TG https://t.co/lKHgL86Xek
1,11/8/2017 7:00:15 AM,233,928155186819891200,,,false,en,73,"<a href=""http://trueanthem.com/"" rel=""nofollow"">trueAnthem</a>",Voters in Maine approve expansion of Medicaid under Obamacare https://t.co/5o4vDBE7xK https://t.co/WxPKkAgjh7
1,11/8/2017 7:10:03 AM,41,928157654551232513,,,false,en,32,"<a href=""http://trueanthem.com/"" rel=""nofollow"">trueAnthem</a>","China, Philippines to draft protocol to avoid maritime 'miscalculations' https://t.co/n9770eQXFw https://t.co/zZvdFQSWJy"
1,11/8/2017 7:15:31 AM,47,928159029179944960,,,false,en,43,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Sky says it could shut Sky News if Fox takeover blocked https://t.co/OICkfdSp1n https://t.co/AJpkgM7yS1
1,11/8/2017 7:20:10 AM,34,928160198107201537,,,false,en,32,"<a href=""http://trueanthem.com/"" rel=""nofollow"">trueAnthem</a>",Oil falls on lower Chinese crude imports; overall market well supported https://t.co/ESXUxNmtAa https://t.co/9Cy9obSVgg
1,11/8/2017 7:30:12 AM,21,928162725980667904,,,false,en,21,"<a href=""http://trueanthem.com/"" rel=""nofollow"">trueAnthem</a>","Asia stocks notch succession of highs, China trade data mixed https://t.co/YYrTJJOOrf https://t.co/Ykjr9OY66E"
1,11/8/2017 7:34:57 AM,0,928163918656270337,,,true,en,27,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","RT @ReutersIndia: Emboldened by Modi's ascent, India's cow vigilantes deny Muslims their livelihood https://t.co/gyVwRkhWbL by @Zebatweets…"
1,11/8/2017 7:40:04 AM,462,928165208811606018,,,false,en,148,"<a href=""http://trueanthem.com/"" rel=""nofollow"">trueAnthem</a>",Charges dropped against woman who laughed at Trump nominee Sessions https://t.co/3ocBw7Wcbk https://t.co/YJT4wToKz4
1,11/8/2017 7:50:05 AM,40,928167727889514496,,,false,en,37,"<a href=""http://trueanthem.com/"" rel=""nofollow"">trueAnthem</a>",Philippine ombudsman files criminal case against ex-president Aquino https://t.co/RmF7W5t6RS https://t.co/zuh8kP231O
1,11/8/2017 7:58:38 AM,38,928169878288240641,,,false,en,36,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",EU eyes tough Brexit transition terms. https://t.co/Yg0W0ujvmI https://t.co/sZUx4LYrbt
1,11/8/2017 8:00:18 AM,38,928170299312541697,,,false,en,30,"<a href=""http://trueanthem.com/"" rel=""nofollow"">trueAnthem</a>",'Storm in a tea cup' - Catalonia is no repeat of euro crisis https://t.co/wNYfPCZEvH https://t.co/JOBZ7379HF
